"atomic","symbol","name","weight","electronstring","melt","boil","valence","oxidation","discover","expandedconfig","isotopes","density_stp","density_liquid"
"unexpected","unexpected","unexpected","unexpected","unexpected","unexpected","unexpected","unexpected","unexpected","unexpected","unexpected","unexpected","unexpected","unexpected"
"76","Os","Осмий","190.23","[Xe] 6s2 4f14 5d6","3306.","5285.","8","-2,1,2,3,4c,5,6,7,8","1803","1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d6",35,"2.259e4","20000."
"77","Ir","Иридий","192.217","[Xe] 6s2 4f14 5d7","2739.","4701.","8","-3,-1,1,2,3c,4c,5,6,7,8","1803","1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d7",36,"2.256e4","19000."
"78","Pt","Платина","195.084","[Xe] 6s1 4f14 5d9","2041.4","4098.","6","2c,4c,5,6","1735","1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s1 4f14 5d9",37,"21450.","19770."
"79","Au","Золото","196.966570","[Xe] 6s1 4f14 5d10","1337.33","3129.","5","-1,1,2,3c,5","-2499","1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s1 4f14 5d10",37,"1.93e4","17310."
"80","Hg","Ртуть","200.59","[Xe] 6s2 4f14 5d10","234.32","629.88","4","1c,2c,4","-1499","1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10",40,"13534.","13534."
"81","Tl","Таллий","204.38","[Xe] 6s2 4f14 5d10 6p1","577.","1746.","3","1c,3c","1861","1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p1",37,"11850.","11220."
"82","Pb","Свинец","207.2","[Xe] 6s2 4f14 5d10 6p2","600.61","2022.","4","-4,2c,4c","-3999","1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p2",38,"11340.","10660."
"83","Bi","Висмут","208.98040","[Xe] 6s2 4f14 5d10 6p3","544.4","1837.","5","-3,3c,5","1400","1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p3",36,"9780.","10050."
"84","Po","Полоний","209","[Xe] 6s2 4f14 5d10 6p4","528.","1235.","6","-2c,2c,4c,6","1898","1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p4",33,"9196.","unexpected"
"85","At","Астат","210","[Xe] 6s2 4f14 5d10 6p5","575.","623.","7","-1c,1c,3,5,7","1940","1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p5",31,"unexpected","unexpected"
"86","Rn","Радон","222","[Xe] 6s2 4f14 5d10 6p6","202.","211.3","6","2c","1900","1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6",34,"9.73","unexpected"
"87","Fr","Франций","223","[Rn] 7s1","294.","923.","1","1c","1939","1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s1",34,"unexpected","unexpected"
"88","Ra","Радий","226","[Rn] 7s2","973.","2010.","2","2c","1898","1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2",33,"5.0e3","unexpected"
"89","Ac","Актиний","227","[Rn] 7s2 6d1","1323.","3473.","3","2,3c","1899","1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 6d1",31,"10070.","unexpected"
"90","Th","Торий","232.0377","[Rn] 7s2 6d2","2023.","5093.","4","2,3,4c","1829","1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 6d2",30,"11724.","unexpected"
"91","Pa","Протактиний","231.03588","[Rn] 7s2 5f2 6d1","1845.","4273.","5","2,3,4,5c","1913","1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f2 6d1",29,"15370.","unexpected"
"92","U","Уран","238.02891","[Rn] 7s2 5f3 6d1","1408.","4.2e3","6","2,3,4,5,6c","1789","1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d10 6p6 7s2 5f3 6d1",26,"19050.","17300."
